EVENT NAME,TRIGGER,PARAMETER 1,PARAMETER 2,PARAMETER 3,PARAMETER 4,GA4 DIMENSION NEEDED,COVERAGE,FILE(S)
page_view,Editor navigates to any tool page,page_path,brand_slug,,,brand_slug + page_path,All 28 tool pages,src/components/RouteTracker.tsx
tool_used,Editor clicks Generate button,tool_name,brand_slug,source_domain (optional),,brand_slug + tool_name + source_domain,All generate buttons (13 pages/components),src/hooks/useWorkflow.ts + multiple pages
post_scheduled,Post successfully sent/scheduled to Facebook,tool_name,brand_slug,,,brand_slug + tool_name,All FB post/schedule paths,src/App.tsx + src/hooks/useScheduledPosts.ts + 4 pages
button_click,Editor clicks a tracked action button,action,tool_name,brand_slug,,action + brand_slug + tool_name,All tools with image/caption actions,src/components/ResultPreview.tsx + GeneratePostView + ArticleGenerateView + PostCard + QuickFactPage + ArticleToSocialPage + QuotePage + WeatherMalaysiaPage
home_tool_click,Editor clicks a tool link on the homepage,tool_label,tool_path,brand_slug,,tool_label + tool_path + brand_slug,Homepage tool cards,src/pages/HomePage.tsx
,,,,,,,,
EVENT NAME,ACTION VALUE,DESCRIPTION,TOOLS COVERED,,,,,
button_click,adjust_image,Editor opens crop/adjust image tool,Article to FB + Carousel + Engagement Posts + Post Queue + Quick Fact,,,,,
button_click,download_image,Editor downloads the generated image,Article to FB + Carousel + Engagement Posts + Post Queue + Quick Fact,,,,,
button_click,upload_custom_image,Editor uploads a custom image,Article to FB + Carousel + Engagement Posts + Post Queue + Quick Fact,,,,,
button_click,caption_copied,Editor copies the post caption,Article to FB + Carousel + Article to Social + Weather Malaysia + Quote + Quick Fact,,,,,
,,,,,,,,
EVENT NAME,TOOL NAME VALUE,ROUTE,NOTES,,,,,
tool_used,article-to-fb,/article-to-fb,Article to FB Photo,,,,,
tool_used,article-to-social,/article-to-social,Article to Social (multi-type),,,,,
tool_used,article-to-carousel,/article-to-carousel,Article to Carousel,,,,,
tool_used,trending-news,/trending-news,Trending News (via GeneratePostView),,,,,
tool_used,spike-news,/spike-news,Spike News (via GeneratePostView),,,,,
tool_used,engagement-posts/epl,/engagement-posts/epl,EPL Engagement Post,,,,,
tool_used,engagement-posts/ucl,/engagement-posts/ucl,UCL Engagement Post,,,,,
tool_used,engagement-posts/malay-entertainment,/engagement-posts/malay-entertainment,Malay Entertainment Engagement Post,,,,,
tool_used,engagement-posts/badminton,/engagement-posts/badminton,Badminton Engagement Post,,,,,
tool_used,engagement-posts/motogp,/engagement-posts/motogp,MotoGP Engagement Post,,,,,
tool_used,engagement-posts/worldcup,/engagement-posts/worldcup,World Cup Engagement Post,,,,,
tool_used,engagement-posts/latest-currency-rate,/engagement-posts/latest-currency-rate,Latest Currency Rate,,,,,
tool_used,engagement-posts/latest-fuel-price,/engagement-posts/latest-fuel-price,Latest Fuel Price,,,,,
tool_used,engagement-posts/klci-index,/engagement-posts/klci-index,KLCI Index,,,,,
tool_used,engagement-posts/on-this-day-malaysia,/engagement-posts/on-this-day-malaysia,On This Day Malaysia (page_view only — auto-loads),,,,,
tool_used,engagement-posts/weather-malaysia,/engagement-posts/weather-malaysia,Weather Malaysia,,,,,
tool_used,engagement-posts/quote,/engagement-posts/quote,Quote,,,,,
tool_used,engagement-posts/didyouknow,/engagement-posts/didyouknow,Did You Know,,,,,
tool_used,engagement-photos/prime-talk,/engagement-photos/prime-talk,Prime Talk,,,,,
tool_used,affiliate-links,/affiliate-links,Shopee Affiliate Links,,,,,
tool_used,affiliate-article-editor,/affiliate-article-editor,Affiliate Article Editor (via ArticleGenerateView),,,,,
tool_used,quick-fact,/quick-fact,Quick Fact,,,,,
tool_used,shopee-top-products,/shopee-top-products,Shopee Top Products,,,,,
tool_used,post-queue,/post-queue,Post Queue / Scheduled Posts,,,,,
tool_used,social-affiliate-posting,/social-affiliate-posting,Social Affiliate Posting,,,,,
,,,,,,,,
GA4 CUSTOM DIMENSIONS SETUP,,,,,,,,
DIMENSION NAME,SCOPE,EVENT PARAMETER,STATUS,NOTES,,,,
brand_slug,Event,brand_slug,Needs setup,Used on every event,,,,
tool_name,Event,tool_name,Needs setup,Used on tool_used + post_scheduled + button_click,,,,
action,Event,action,Needs setup,Used on button_click,,,,
tool_label,Event,tool_label,Needs setup,Used on home_tool_click,,,,
tool_path,Event,tool_path,Needs setup,Used on home_tool_click,,,,
source_domain,Event,source_domain,Needs setup,Used on tool_used for article-based tools only,,,,
,,,,,,,,
GA4 SETUP STEPS,,,,,,,,
STEP,WHERE IN GA4,ACTION,,,,,,
1,Admin → Custom definitions,Create all 6 custom dimensions listed above,,,,,,
2,Admin → Events,Find post_scheduled → toggle Mark as conversion (optional),,,,,,
3,Admin → Data Filters,Add hostname filter to exclude staging/localhost traffic (optional),,,,,,
4,Reports → Realtime → DebugView,Verify events are flowing after deployment,,,,,,
,,,,,,,,
SAMPLE QUESTIONS & HOW TO ANSWER IN GA4,,,,,,,,
QUESTION,EVENT TO USE,FILTER BY,BREAKDOWN BY,,,,,
Which tools are most visited?,page_view,,tool_name (from page_path),,,,,
Which tools are actually used?,tool_used,,tool_name,,,,,
Which brand is most active?,tool_used,,brand_slug,,,,,
Which tool links do editors click from homepage?,home_tool_click,,tool_label,,,,,
Which brands generate but never post to FB?,tool_used vs post_scheduled,Compare both,brand_slug + tool_name,,,,,
Which publisher news does each brand use most?,tool_used,brand_slug,source_domain,,,,,
Do editors adjust images after generating?,button_click,action = adjust_image,brand_slug,,,,,
Do editors copy captions?,button_click,action = caption_copied,brand_slug + tool_name,,,,,